#IID	pop
HG01879	ACB
HG01880	ACB
HG01882	ACB
HG01883	ACB
HG01885	ACB
HG01886	ACB
HG01889	ACB
HG01890	ACB
HG01894	ACB
HG01896	ACB
HG01912	ACB
HG01914	ACB
HG01915	ACB
HG01956	ACB
HG01958	ACB
HG01985	ACB
HG01986	ACB
HG01988	ACB
HG01989	ACB
HG01990	ACB
HG02009	ACB
HG02010	ACB
HG02012	ACB
HG02013	ACB
HG02014	ACB
HG02051	ACB
HG02052	ACB
HG02053	ACB
HG02054	ACB
HG02095	ACB
HG02107	ACB
HG02108	ACB
HG02111	ACB
HG02143	ACB
HG02144	ACB
HG02255	ACB
HG02256	ACB
HG02281	ACB
HG02282	ACB
HG02283	ACB
HG02284	ACB
HG02307	ACB
HG02308	ACB
HG02309	ACB
HG02314	ACB
HG02315	ACB
HG02317	ACB
HG02318	ACB
HG02322	ACB
HG02323	ACB
HG02325	ACB
HG02330	ACB
HG02332	ACB
HG02334	ACB
HG02337	ACB
HG02339	ACB
HG02343	ACB
HG02419	ACB
HG02420	ACB
HG02427	ACB
HG02429	ACB
HG02433	ACB
HG02439	ACB
HG02442	ACB
HG02445	ACB
HG02449	ACB
HG02450	ACB
HG02455	ACB
HG02461	GWD
HG02462	GWD
HG02464	GWD
HG02465	GWD
HG02470	ACB
HG02471	ACB
HG02476	ACB
HG02477	ACB
HG02479	ACB
HG02481	ACB
HG02484	ACB
HG02485	ACB
HG02489	ACB
HG02496	ACB
HG02497	ACB
HG02501	ACB
HG02502	ACB
HG02505	ACB
HG02508	ACB
HG02511	ACB
HG02536	ACB
HG02537	ACB
HG02541	ACB
HG02545	ACB
HG02546	ACB
HG02549	ACB
HG02554	ACB
HG02555	ACB
HG02557	ACB
HG02558	ACB
HG02561	GWD
HG02562	GWD
HG02568	GWD
HG02570	GWD
HG02571	GWD
HG02573	GWD
HG02574	GWD
HG02577	ACB
HG02580	ACB
HG02582	GWD
HG02583	GWD
HG02585	GWD
HG02586	GWD
HG02588	GWD
HG02589	GWD
HG02594	GWD
HG02595	GWD
HG02610	GWD
HG02611	GWD
HG02613	GWD
HG02614	GWD
HG02620	GWD
HG02621	GWD
HG02623	GWD
HG02624	GWD
HG02628	GWD
HG02629	GWD
HG02634	GWD
HG02635	GWD
HG02642	GWD
HG02643	GWD
HG02645	GWD
HG02646	GWD
HG02666	GWD
HG02667	GWD
HG02675	GWD
HG02676	GWD
HG02678	GWD
HG02679	GWD
HG02702	GWD
HG02703	GWD
HG02715	GWD
HG02716	GWD
HG02721	GWD
HG02722	GWD
HG02756	GWD
HG02757	GWD
HG02759	GWD
HG02760	GWD
HG02763	GWD
HG02768	GWD
HG02769	GWD
HG02771	GWD
HG02772	GWD
HG02798	GWD
HG02799	GWD
HG02804	GWD
HG02805	GWD
HG02807	GWD
HG02808	GWD
HG02810	GWD
HG02811	GWD
HG02813	GWD
HG02814	GWD
HG02816	GWD
HG02817	GWD
HG02819	GWD
HG02820	GWD
HG02836	GWD
HG02837	GWD
HG02839	GWD
HG02840	GWD
HG02851	GWD
HG02852	GWD
HG02854	GWD
HG02855	GWD
HG02860	GWD
HG02861	GWD
HG02870	GWD
HG02878	GWD
HG02879	GWD
HG02881	GWD
HG02882	GWD
HG02884	GWD
HG02885	GWD
HG02887	GWD
HG02888	GWD
HG02890	GWD
HG02891	GWD
HG02895	GWD
HG02896	GWD
HG02922	ESN
HG02923	ESN
HG02938	ESN
HG02941	ESN
HG02943	ESN
HG02944	ESN
HG02946	ESN
HG02947	ESN
HG02952	ESN
HG02953	ESN
HG02968	ESN
HG02970	ESN
HG02971	ESN
HG02973	ESN
HG02974	ESN
HG02976	ESN
HG02977	ESN
HG02979	ESN
HG02981	ESN
HG02982	GWD
HG02983	GWD
HG03024	GWD
HG03025	GWD
HG03027	GWD
HG03028	GWD
HG03039	GWD
HG03040	GWD
HG03045	GWD
HG03046	GWD
HG03048	GWD
HG03049	GWD
HG03052	MSL
HG03054	MSL
HG03055	MSL
HG03057	MSL
HG03058	MSL
HG03060	MSL
HG03061	MSL
HG03063	MSL
HG03064	MSL
HG03066	MSL
HG03069	MSL
HG03072	MSL
HG03073	MSL
HG03074	MSL
HG03077	MSL
HG03078	MSL
HG03079	MSL
HG03081	MSL
HG03082	MSL
HG03084	MSL
HG03085	MSL
HG03086	MSL
HG03088	MSL
HG03091	MSL
HG03095	MSL
HG03096	MSL
HG03097	MSL
HG03099	ESN
HG03100	ESN
HG03103	ESN
HG03105	ESN
HG03108	ESN
HG03109	ESN
HG03111	ESN
HG03112	ESN
HG03114	ESN
HG03115	ESN
HG03117	ESN
HG03118	ESN
HG03120	ESN
HG03121	ESN
HG03123	ESN
HG03124	ESN
HG03126	ESN
HG03127	ESN
HG03129	ESN
HG03130	ESN
HG03132	ESN
HG03133	ESN
HG03135	ESN
HG03136	ESN
HG03139	ESN
HG03157	ESN
HG03159	ESN
HG03160	ESN
HG03162	ESN
HG03163	ESN
HG03166	ESN
HG03168	ESN
HG03169	ESN
HG03172	ESN
HG03175	ESN
HG03189	ESN
HG03190	ESN
HG03193	ESN
HG03195	ESN
HG03196	ESN
HG03198	ESN
HG03199	ESN
HG03202	ESN
HG03209	MSL
HG03212	MSL
HG03224	MSL
HG03225	MSL
HG03240	GWD
HG03241	GWD
HG03246	GWD
HG03247	GWD
HG03258	GWD
HG03259	GWD
HG03265	ESN
HG03267	ESN
HG03268	ESN
HG03270	ESN
HG03271	ESN
HG03279	ESN
HG03280	ESN
HG03291	ESN
HG03294	ESN
HG03295	ESN
HG03297	ESN
HG03298	ESN
HG03300	ESN
HG03301	ESN
HG03303	ESN
HG03304	ESN
HG03311	ESN
HG03313	ESN
HG03342	ESN
HG03343	ESN
HG03351	ESN
HG03352	ESN
HG03354	ESN
HG03363	ESN
HG03366	ESN
HG03367	ESN
HG03369	ESN
HG03370	ESN
HG03372	ESN
HG03376	MSL
HG03378	MSL
HG03380	MSL
HG03382	MSL
HG03385	MSL
HG03388	MSL
HG03391	MSL
HG03394	MSL
HG03397	MSL
HG03401	MSL
HG03410	MSL
HG03419	MSL
HG03428	MSL
HG03432	MSL
HG03433	MSL
HG03436	MSL
HG03437	MSL
HG03439	MSL
HG03442	MSL
HG03445	MSL
HG03446	MSL
HG03449	MSL
HG03451	MSL
HG03452	MSL
HG03455	MSL
HG03457	MSL
HG03458	MSL
HG03460	MSL
HG03461	MSL
HG03464	MSL
